io_uring_register(fd=10, opcode=0x4, arg=0x7f3977bd0000, nr_args=0xffffffff) = -1 (Operation not supported)
io_uring_register(fd=328, opcode=0x4, arg=0x7f39777cf000, nr_args=0xa0000080) = -1 (Operation not supported)
io_uring_register(fd=328, opcode=0x4, arg=0x7f3977ed0000, nr_args=0x10000000) = -1 (Operation not supported)
io_uring_register(fd=328, opcode=0x4, arg=0x8, nr_args=1) = -1 (Operation not supported)
io_uring_register(fd=328, opcode=0x4, arg=0x7f39777d0000, nr_args=0xff45) = -1 (Operation not supported)
io_uring_register(fd=281, opcode=0x4, arg=0x7f3977bd0000, nr_args=115) = -1 (Operation not supported)
io_uring_register(fd=281, opcode=0x4, arg=0x0, nr_args=178) = -1 (Operation not supported)
io_uring_register(fd=281, opcode=0x4, arg=0x4, nr_args=0xc3c3c3c3) = -1 (Operation not supported)
io_uring_register(fd=184, opcode=0x4, arg=0x7f39777d0000, nr_args=0x69696969) = -1 (Operation not supported)
io_uring_register(fd=184, opcode=0x4, arg=0x7f3977fd0000, nr_args=-234) = -1 (Operation not supported)
io_uring_register(fd=184, opcode=0x4, arg=0x8, nr_args=0x808080188) = -1 (Operation not supported)
io_uring_register(fd=184, opcode=0x4, arg=0x7f39779d0000, nr_args=226) = -1 (Operation not supported)
io_uring_register(fd=184, opcode=0x4, arg=0x0, nr_args=-7) = -1 (Operation not supported)
io_uring_register(fd=184, opcode=0x4, arg=0x8, nr_args=0xffffe000) = -1 (Operation not supported)
io_uring_register(fd=11, opcode=0x4, arg=0x0, nr_args=0x5878f48d0bb6902b) = -1 (Operation not supported)
io_uring_register(fd=11, opcode=0x4, arg=0x0, nr_args=0x6400003c) = -1 (Operation not supported)
io_uring_register(fd=25, opcode=0x4, arg=0x7f39777d0000, nr_args=0x5000) = -1 (Operation not supported)
io_uring_register(fd=25, opcode=0x4, arg=0x7f3977ed0000, nr_args=0xf8f8f8f8) = -1 (Operation not supported)
io_uring_register(fd=286, opcode=0x4, arg=0x7f3977ed0000, nr_args=16384) = -1 (Operation not supported)
io_uring_register(fd=286, opcode=0x4, arg=0x7f39779d0000, nr_args=147) = -1 (Operation not supported)
io_uring_register(fd=286, opcode=0x4, arg=0x0, nr_args=136) = -1 (Operation not supported)
io_uring_register(fd=286, opcode=0x4, arg=0x0, nr_args=0xa44269940a) = -1 (Operation not supported)
io_uring_register(fd=302, opcode=0x4, arg=0x7f39777cf000, nr_args=0xffff05a6d1d20291) = -1 (Operation not supported)
io_uring_register(fd=302, opcode=0x4, arg=0x7f39779d0000, nr_args=223) = -1 (Operation not supported)
io_uring_register(fd=13, opcode=0x4, arg=0x0, nr_args=0x8000000) = -1 (Operation not supported)
io_uring_register(fd=13, opcode=0x4, arg=0x1, nr_args=157) = -1 (Operation not supported)
io_uring_register(fd=13, opcode=0x4, arg=0x0, nr_args=0x23808002e052) = -1 (Operation not supported)
io_uring_register(fd=287, opcode=0x4, arg=0x4, nr_args=0x26abeccf5cc6cb7a) = -1 (Operation not supported)
io_uring_register(fd=287, opcode=0x4, arg=0x7f39777cc000, nr_args=0x80000000) = -1 (Operation not supported)
io_uring_register(fd=287, opcode=0x4, arg=0x7f39777cc000, nr_args=0x64799000) = -1 (Operation not supported)
io_uring_register(fd=287, opcode=0x4, arg=0x1, nr_args=72) = -1 (Operation not supported)
io_uring_register(fd=287, opcode=0x4, arg=0x4, nr_args=15395) = -1 (Operation not supported)
io_uring_register(fd=371, opcode=0x4, arg=0x7f3977fd0000, nr_args=0x12c028002000) = -1 (Operation not supported)
io_uring_register(fd=371, opcode=0x4, arg=0x7f3977bd0000, nr_args=210) = -1 (Operation not supported)
io_uring_register(fd=303, opcode=0x4, arg=0x4, nr_args=0xfe1a996d96) = -1 (Operation not supported)
io_uring_register(fd=303, opcode=0x4, arg=0x7f3977bd0000, nr_args=0x6f3e411e3dd8a8cc) = -1 (Operation not supported)
io_uring_register(fd=404, opcode=0x4, arg=0x0, nr_args=0x766e0d9d9e79) = -1 (Operation not supported)
io_uring_register(fd=404, opcode=0x4, arg=0x7f3977fd0000, nr_args=0x9a9a9a9a) = -1 (Operation not supported)
io_uring_register(fd=404, opcode=0x4, arg=0x8, nr_args=0xc688208440124) = -1 (Operation not supported)
io_uring_register(fd=404, opcode=0x4, arg=0x0, nr_args=-6) = -1 (Operation not supported)
io_uring_register(fd=404, opcode=0x4, arg=0x7f39779d0000, nr_args=0x751e946dd9c9c4) = -1 (Operation not supported)
io_uring_register(fd=30, opcode=0x4, arg=0x4, nr_args=-1) = -1 (Operation not supported)
io_uring_register(fd=30, opcode=0x4, arg=0x7f39798d8000, nr_args=0x7b817000) = -1 (Operation not supported)
io_uring_register(fd=390, opcode=0x5, arg=0x7f39779d0000, nr_args=-32) = -1 (Operation not supported)
io_uring_register(fd=390, opcode=0x5, arg=0x7f3977bd0000, nr_args=-10) = -1 (Operation not supported)
io_uring_register(fd=390, opcode=0x5, arg=0x7f39798d9000, nr_args=0x4a004440a1320030) = -1 (Operation not supported)
io_uring_register(fd=390, opcode=0x5, arg=0x1, nr_args=68) = -1 (Operation not supported)
io_uring_register(fd=6, opcode=0x5, arg=0x0, nr_args=0x4000010000802) = -1 (Operation not supported)
io_uring_register(fd=6, opcode=0x5, arg=0x8, nr_args=0xf5f5f5f5) = -1 (Operation not supported)
