fsetxattr(fd=231, name=0x0, value=0x7fe8ffb03000, size=1, flags=0x3) = -1 (Read-only file system)
fsetxattr(fd=231, name=0x4, value=0xc, size=0xfff7, flags=0x3) = -1 (Read-only file system)
fsetxattr(fd=231, name=0x7fe8fdbfa000, value=0x7fe8fd9fa000, size=200, flags=0x3) = -1 (Read-only file system)
fsetxattr(fd=399, name=0x0, value=0x4, size=4096, flags=0x3) = -1 (Bad address)
fsetxattr(fd=399, name=0x0, value=0x7fe8fddfa000, size=4096, flags=0x3) = -1 (Bad address)
fsetxattr(fd=399, name=0x0, value=0x7fe8fddfa000, size=227, flags=0x3) = -1 (Bad address)
fsetxattr(fd=399, name=0x7fe8fddfa000, value=0x7fe8fddfa004, size=15, flags=0x3) = -1 (Numerical result out of range)
fsetxattr(fd=399, name=0x7fe8fd9fa000, value=0x7fe8fdffa000, size=0, flags=0x3) = -1 (Numerical result out of range)
fsetxattr(fd=283, name=0x7fe8fe1fa000, value=0x7fe8fe1fa004, size=4, flags=0x3) = -1 (Numerical result out of range)
fsetxattr(fd=283, name=0x0, value=0x7fe8fd9f5000, size=1, flags=0x3) = -1 (Bad address)
fsetxattr(fd=283, name=0x7fe8fdffa000, value=0x7fe8fdffa004, size=8, flags=0x3) = -1 (Numerical result out of range)
fsetxattr(fd=283, name=0x7fe8fd9fa000, value=0x7fe8fd9f5000, size=4096, flags=0x3) = -1 (Numerical result out of range)
fsetxattr(fd=283, name=0x7fe8fe0fa000, value=0x7fe8fd9f5000, size=4096, flags=0x3) = -1 (Numerical result out of range)
fsetxattr(fd=357, name=0x0, value=0x0, size=0x80000, flags=0x3) = -1 (Bad address)
fsetxattr(fd=357, name=0x7fe8fd9f7000, value=0x7fe8fd9f5000, size=1, flags=0x3) = -1 (Numerical result out of range)
fsetxattr(fd=407, name=0x7fe8fe1fa000, value=0x7fe8ffb04000, size=250, flags=0x3) = -1 (Numerical result out of range)
fsetxattr(fd=407, name=0x7fe8fd9fa000, value=0x7fe8fd9fa008, size=8, flags=0x0) = -1 (Numerical result out of range)
fsetxattr(fd=64, name=0x4, value=0x0, size=16, flags=0x0) = -1 (Read-only file system)
fsetxattr(fd=297, name=0x7f7c6edaa000, value=0x7f7c6edaa004, size=4, flags=0x0) = -1 (Numerical result out of range)
fsetxattr(fd=297, name=0x7f7c70cb3000, value=0x7f7c70cb3004, size=130, flags=0x0) = -1 (Numerical result out of range)
fsetxattr(fd=297, name=0x0, value=0x7f7c6eba5000, size=4, flags=0x0) = -1 (Bad address)
fsetxattr(fd=297, name=0x1, value=0x7f7c6f2aa000, size=-1, flags=0x0) = -1 (Bad address)
fsetxattr(fd=297, name=0x7f7c6eba9000, value=0x7f7c6eba9004, size=258, flags=0x0) = -1 (Numerical result out of range)
fsetxattr(fd=297, name=0x7f7c6efaa000, value=0x7f7c6eba6000, size=0xff44, flags=0x0) = -1 (Numerical result out of range)
fsetxattr(fd=308, name=0x8, value=0x9, size=8, flags=0x0) = -1 (Bad address)
fsetxattr(fd=308, name=0x1, value=0x2, size=30, flags=0x0) = -1 (Bad address)
fsetxattr(fd=308, name=0x8, value=0x9, size=8, flags=0x0) = -1 (Bad address)
fsetxattr(fd=308, name=0x8, value=0x10, size=4096, flags=0x0) = -1 (Bad address)
fsetxattr(fd=308, name=0x7f7c6efaa000, value=0x7f7c70cb4000, size=1, flags=0x0) = -1 (Numerical result out of range)
fsetxattr(fd=308, name=0x7f7c6f3aa000, value=0x7f7c6f3aa004, size=0x96e659, flags=0x0) = -1 (Numerical result out of range)
fsetxattr(fd=15, name=0x7f7c6ebaa000, value=0x7f7c6ebaa000, size=1, flags=0x0) = -1 (Numerical result out of range)
fsetxattr(fd=15, name=0x4, value=0x4, size=8, flags=0x0) = -1 (Bad address)
fsetxattr(fd=15, name=0x0, value=0x8, size=8, flags=0x0) = -1 (Bad address)
fsetxattr(fd=15, name=0x7f7c6f2aa000, value=0x7f7c6f3aa000, size=-1, flags=0x0) = -1 (Numerical result out of range)
fsetxattr(fd=15, name=0x7f7c6eba5000, value=0x7f7c6eba9000, size=8, flags=0x0) = -1 (Numerical result out of range)
fsetxattr(fd=27, name=0x0, value=0x7f7c6ebaa000, size=1, flags=0x0) = -1 (Bad address)
fsetxattr(fd=27, name=0x8, value=0x9, size=4096, flags=0x0) = -1 (Bad address)
fsetxattr(fd=27, name=0x1, value=0x7f7c6edaa000, size=4096, flags=0x0) = -1 (Bad address)
fsetxattr(fd=27, name=0x7f7c6f3aa000, value=0x7f7c6f3aa000, size=247, flags=0x0) = -1 (Numerical result out of range)
fsetxattr(fd=27, name=0x8, value=0x9, size=4096, flags=0x0) = -1 (Bad address)
