msgctl(msqid=233, cmd=0xb, buf=0x7fa31547e000) = -1 (Invalid argument)
msgctl(msqid=217, cmd=0xb, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=0xa3c4, cmd=0xb, buf=0x7fa31527d000) = -1 (Invalid argument)
msgctl(msqid=0xa20081199b, cmd=0xb, buf=0x7fa31597e000) = -1 (Invalid argument)
msgctl(msqid=-10, cmd=0xb, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=28, cmd=0xb, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=-7, cmd=0xb, buf=0x7fa31547e000) = -1 (Invalid argument)
msgctl(msqid=0xf000, cmd=0xb, buf=0x7fa31527a000) = -1 (Invalid argument)
msgctl(msqid=0xc4c4c4c4, cmd=0xb, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=0xfffd, cmd=0xb, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0x80000000000, cmd=0xb, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0xfffffffc, cmd=0xb, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=0xf000, cmd=0xb, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0x815bb5eb9c, cmd=0xb, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=0x1410281ba1d5, cmd=0xb, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0x8d8d8d8d, cmd=0xb, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=-5, cmd=0xb, buf=0x7fa31567e000) = -1 (Invalid argument)
msgctl(msqid=47, cmd=0xb, buf=0x7fa31587e000) = -1 (Invalid argument)
