epoll_ctl(epfd=188, op=0x1, fd=188, event=0x556ba8ecbf30) = -1 (Operation not permitted)
epoll_ctl(epfd=188, op=0x1, fd=308, event=0x556ba8ecbf30) = -1 (Invalid argument)
epoll_ctl(epfd=390, op=0x1, fd=8, event=0x556ba8ecbf30) = -1 (Invalid argument)
epoll_ctl(epfd=284, op=0x1, fd=284, event=0x556ba8ecbf30) = -1 (Invalid argument)
epoll_ctl(epfd=284, op=0x1, fd=395, event=0x556ba8ecbf30) = -1 (Invalid argument)
epoll_ctl(epfd=343, op=0x1, fd=359, event=0x556ba8ecbf30) = -1 (Invalid argument)
epoll_ctl(epfd=343, op=0x1, fd=343, event=0x556ba8ecbf30) = -1 (Invalid argument)
epoll_ctl(epfd=343, op=0x1, fd=295, event=0x556ba8ecbf30) = -1 (Invalid argument)
epoll_ctl(epfd=287, op=0x1, fd=25, event=0x556ba8ecbf30) = -1 (Invalid argument)
epoll_ctl(epfd=287, op=0x1, fd=409, event=0x556ba8ecbf30) = -1 (Invalid argument)
epoll_ctl(epfd=409, op=0x1, fd=6, event=0x556ba8ecbf30) = -1 (Invalid argument)
epoll_ctl(epfd=303, op=0x1, fd=290, event=0x556ba8ecbf30) = -1 (Operation not permitted)
epoll_ctl(epfd=406, op=0x1, fd=406, event=0x556ba8ecbf30) = -1 (Invalid argument)
epoll_ctl(epfd=18, op=0x1, fd=298, event=0x556ba8ecbf30) = 0
epoll_ctl(epfd=18, op=0x3, fd=402, event=0x556ba8ecbf30) = -1 (No such file or directory)
epoll_ctl(epfd=402, op=0x3, fd=290, event=0x556ba8ecbf30) = -1 (Operation not permitted)
epoll_ctl(epfd=402, op=0x3, fd=402, event=0x556ba8ecbf30) = -1 (Invalid argument)
epoll_ctl(epfd=281, op=0x3, fd=299, event=0x556ba8ecbf30) = -1 (Invalid argument)
