futex_waitv(waiters=64, nr_futexes=-10, flags=0, timeout=0, clockid=0x492a31dce0ef) = -1 (Function not implemented)
futex_waitv(waiters=0xfffb, nr_futexes=0xdbcbcbcb, flags=0, timeout=-1, clockid=0x800000) = -1 (Function not implemented)
futex_waitv(waiters=0xff96, nr_futexes=0xffffffff8989898a, flags=0, timeout=68, clockid=-3) = -1 (Function not implemented)
futex_waitv(waiters=0xa0a0a0a0, nr_futexes=89, flags=0, timeout=0xc00004200, clockid=0x3209c04) = -1 (Function not implemented)
futex_waitv(waiters=0x48430258a3e18944, nr_futexes=0x6000, flags=0, timeout=0x30303030, clockid=185) = -1 (Function not implemented)
futex_waitv(waiters=255, nr_futexes=0x204081440, flags=0, timeout=0xffffffffa0a0a0a0, clockid=-1) = -1 (Function not implemented)
futex_waitv(waiters=4096, nr_futexes=128, flags=0, timeout=-8192, clockid=0) = -1 (Function not implemented)
futex_waitv(waiters=0x6b0753cbc0, nr_futexes=0xf03d78302eca7e, flags=0, timeout=197, clockid=0x100020) = -1 (Function not implemented)
futex_waitv(waiters=0x369b3c5914207f, nr_futexes=0xf9f9, flags=0, timeout=-9, clockid=0x3a4608b2a7) = -1 (Function not implemented)
futex_waitv(waiters=8, nr_futexes=0x122c1047b4009228, flags=0, timeout=255, clockid=86) = -1 (Function not implemented)
futex_waitv(waiters=205, nr_futexes=133, flags=0, timeout=163, clockid=0xd041a000) = -1 (Function not implemented)
futex_waitv(waiters=1, nr_futexes=0x70707070, flags=0, timeout=8, clockid=14539) = -1 (Function not implemented)
futex_waitv(waiters=4096, nr_futexes=0xfbfbfbfb, flags=0, timeout=13, clockid=0x9d000a2b3800) = -1 (Function not implemented)
futex_waitv(waiters=225, nr_futexes=0x400000, flags=0, timeout=0x5358e54d4f, clockid=0xfffd) = -1 (Function not implemented)
futex_waitv(waiters=-4, nr_futexes=0x1e1e1e1e, flags=0, timeout=0x182c1016be, clockid=73) = -1 (Function not implemented)
futex_waitv(waiters=0x56ad55093dfb, nr_futexes=-4, flags=0, timeout=0xfff7, clockid=0x2d580243) = -1 (Function not implemented)
futex_waitv(waiters=129, nr_futexes=183, flags=0, timeout=0x795219f982, clockid=16) = -1 (Function not implemented)
futex_waitv(waiters=223, nr_futexes=0xe5e5e5e5, flags=0, timeout=5, clockid=0x82000000) = -1 (Function not implemented)
futex_waitv(waiters=0x18040020, nr_futexes=0x6dd3000, flags=0, timeout=1, clockid=0x29292929) = -1 (Function not implemented)
futex_waitv(waiters=-8, nr_futexes=0xd322f12635137b, flags=0, timeout=-1, clockid=0xffffffff) = -1 (Function not implemented)
futex_waitv(waiters=0xa19800a300041a0, nr_futexes=0xc852, flags=0, timeout=23, clockid=0) = -1 (Function not implemented)
futex_waitv(waiters=-3, nr_futexes=89, flags=0, timeout=0x410203620000804, clockid=-1) = -1 (Function not implemented)
futex_waitv(waiters=0x400020000, nr_futexes=89, flags=0, timeout=0x8080808, clockid=0xc4c4c4c4) = -1 (Function not implemented)
futex_waitv(waiters=0xffffffff61616161, nr_futexes=0x80000, flags=0, timeout=180, clockid=0x710677813ae1) = -1 (Function not implemented)
futex_waitv(waiters=-8, nr_futexes=0, flags=0, timeout=172, clockid=0x20000) = -1 (Function not implemented)
futex_waitv(waiters=0x2d09022428, nr_futexes=-1, flags=0, timeout=0x200000, clockid=0x59291eaf88) = -1 (Function not implemented)
futex_waitv(waiters=240, nr_futexes=2048, flags=0, timeout=0xffff, clockid=4096) = -1 (Function not implemented)
futex_waitv(waiters=0xfffd, nr_futexes=-10, flags=0, timeout=0x200000, clockid=0x840a122000) = -1 (Function not implemented)
futex_waitv(waiters=0x90000400, nr_futexes=0x917c5925f498, flags=0, timeout=0x2908a400, clockid=-119) = -1 (Function not implemented)
futex_waitv(waiters=0x51515151, nr_futexes=0x100000, flags=0, timeout=27, clockid=0x7fffff) = -1 (Function not implemented)
futex_waitv(waiters=34, nr_futexes=0xe2a8df26332f51, flags=0, timeout=-6, clockid=0xffff) = -1 (Function not implemented)
futex_waitv(waiters=0xced94f6589af314b, nr_futexes=0xfffffffc, flags=0, timeout=0xf5f5f5f5, clockid=0xfff7) = -1 (Function not implemented)
futex_waitv(waiters=191, nr_futexes=0x20202000, flags=0, timeout=0xf604bbb2f3, clockid=0) = -1 (Function not implemented)
futex_waitv(waiters=93, nr_futexes=514, flags=0, timeout=73, clockid=32) = -1 (Function not implemented)
futex_waitv(waiters=204, nr_futexes=0x4184204d88, flags=0, timeout=-6, clockid=0x5d5d5d5d) = -1 (Function not implemented)
futex_waitv(waiters=1024, nr_futexes=-6, flags=0, timeout=8, clockid=109) = -1 (Function not implemented)
futex_waitv(waiters=0xfffffffb, nr_futexes=1024, flags=0, timeout=0xffff0000, clockid=-1) = -1 (Function not implemented)
futex_waitv(waiters=0xe5120f6d4c, nr_futexes=0x3c020080, flags=0, timeout=-10, clockid=0x2000006) = -1 (Function not implemented)
futex_waitv(waiters=0x68000045, nr_futexes=0xdededede, flags=0, timeout=0xffffb540a23e2438, clockid=128) = -1 (Function not implemented)
futex_waitv(waiters=64, nr_futexes=0x3f3f3f3f, flags=0, timeout=0xc0c0c0c0, clockid=29) = -1 (Function not implemented)
futex_waitv(waiters=512, nr_futexes=0xdb4f689b89, flags=0, timeout=0xffffe000, clockid=255) = -1 (Function not implemented)
futex_waitv(waiters=142, nr_futexes=11, flags=0, timeout=0xf6450237afde28, clockid=0xffff0000) = -1 (Function not implemented)
futex_waitv(waiters=0xbb42d350adbf03, nr_futexes=8192, flags=0, timeout=38, clockid=0x84264f41e615) = -1 (Function not implemented)
futex_waitv(waiters=0x83d094844c0e, nr_futexes=0x417a676c4a36, flags=0, timeout=0xff075a9583038c44, clockid=1) = -1 (Function not implemented)
futex_waitv(waiters=0xd3c8b31715dd46, nr_futexes=0x8484, flags=0, timeout=0x4000000, clockid=16384) = -1 (Function not implemented)
futex_waitv(waiters=0x400000, nr_futexes=-1, flags=0, timeout=0, clockid=0x7b4bdd4a4a) = -1 (Function not implemented)
futex_waitv(waiters=0x942e6f68b80c, nr_futexes=-8, flags=0, timeout=528, clockid=0xcccccccc) = -1 (Function not implemented)
futex_waitv(waiters=256, nr_futexes=224, flags=0, timeout=0x40205202000608, clockid=0x33333333) = -1 (Function not implemented)
futex_waitv(waiters=0x5004013b, nr_futexes=0x20000, flags=0, timeout=0x2000e3be, clockid=0xaa0000) = -1 (Function not implemented)
futex_waitv(waiters=0x7056b46585, nr_futexes=0x473e7f4f436e03, flags=0, timeout=0xffffffffffff1fff, clockid=128) = -1 (Function not implemented)
futex_waitv(waiters=0x22085441a40882, nr_futexes=0x80808080, flags=0, timeout=-5, clockid=0x56fc) = -1 (Function not implemented)
futex_waitv(waiters=-1, nr_futexes=2, flags=0, timeout=0, clockid=0xffff) = -1 (Function not implemented)
