mq_timedsend(mqdes=27, u_msg_ptr=0x0, msg_len=1, msg_prio=13836, u_abs_timeout=0x7f31ac2c0000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=406, u_msg_ptr=0x0, msg_len=0, msg_prio=0x6161, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedsend(mqdes=406, u_msg_ptr=0x4, msg_len=175, msg_prio=0, u_abs_timeout=0x7f31aa5b7000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=406, u_msg_ptr=0x7f31aa7b7000, msg_len=1, msg_prio=8095, u_abs_timeout=0x7f31aa1b7000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=406, u_msg_ptr=0x7f31aa8b7000, msg_len=1, msg_prio=132, u_abs_timeout=0x7f31aa9b7000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=306, u_msg_ptr=0x8, msg_len=255, msg_prio=2542, u_abs_timeout=0x7f31aa7b7000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=306, u_msg_ptr=0x0, msg_len=1, msg_prio=0x441c, u_abs_timeout=0x7f31aa3b7000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=306, u_msg_ptr=0x7f31aa1b7000, msg_len=0, msg_prio=895, u_abs_timeout=0x7f31aa3b7000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=10, u_msg_ptr=0x7f31aa5b7000, msg_len=0, msg_prio=91, u_abs_timeout=0x7f31aa5b7001) = -1 (Bad file descriptor)
mq_timedsend(mqdes=10, u_msg_ptr=0x4, msg_len=1, msg_prio=0x59d9, u_abs_timeout=0x7f31aa7b7000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=10, u_msg_ptr=0x7f31aa3b7000, msg_len=162, msg_prio=45, u_abs_timeout=0x7f31aa1b3000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=10, u_msg_ptr=0x7f31aa7b7000, msg_len=0x1000000, msg_prio=0, u_abs_timeout=0x7f31aa7b7004) = -1 (Bad file descriptor)
mq_timedsend(mqdes=286, u_msg_ptr=0x7f31aa1b7000, msg_len=1, msg_prio=0x7e7e, u_abs_timeout=0x7f31ac2c0000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=286, u_msg_ptr=0x7f31aa1b7000, msg_len=35, msg_prio=0x7ffe, u_abs_timeout=0x7f31aa1b7008) = -1 (Bad file descriptor)
mq_timedsend(mqdes=30, u_msg_ptr=0x0, msg_len=4096, msg_prio=4096, u_abs_timeout=0x0) = -1 (Bad file descriptor)
